Progeny_ID,Sample_Type,,
P1002-2  ,DNA from Blood,,
P1186-2  ,DNA from Blood,,found in lims
P1354-4  ,DNA from Blood,,found in lims
P1372-2  ,DNA from Blood,,found in lims
P1372-5  ,DNA from Blood,,found in lims
P1403-3  ,DNA from Blood,,found in lims
P1465-4  ,DNA from Blood,,
P1614-2  ,DNA from Blood,,
P1828-2 ,DNA from Blood,,
P2214-4  ,DNA from Blood,,
P2235-2  ,DNA from Blood,,
P2235-3  ,DNA from Blood,,
P2256-2  ,DNA from Blood,,
P2256-3  ,DNA from Blood,,
P2269-2  ,DNA from Blood,,
P2349-2  ,DNA from Blood,,
P2349-3  ,DNA from Blood,,
